HUC	Watershed	WETLNDSPCT	UINDEX	RIPFOR	AGSL	FORPCT	IMPLCPCT	TOTALP	TOTALN	RDDENS	STRD	NITRATEGW	NITRODEP	SULFURDEP	PARTMAT2.5	PRLOINC	PR0.4	PR65P	PRPOV65	PRAGFM	PRMINE	PCIHUC	POPDENS	POPGROWTH	INDTHPTH	NBLDPM97	NTCMPPLM	OZONEDV	GYPSYMOTH	PSOIL	EDGE65	EDGE2	INT2	TERREXOTIC	MIGSCENARIO	RIPAG	AQUAEXOTIC	AQUANATIVE	AQUATE	TERRNATIVE	TERRTE	DAMS	UVB	FUNGICIDE	HERBICIDE	INSECTICIDE	SOFTCHIPMIL	HARDCHIPMIL	INT250	STRM303DPCT	TRISUMTC	HOUSEBEF79
2040101	UPPER DELAWARE	0.4311	16.5411	79.5046	9.5169	83.0278	2.0396	0.3886	2.9824	14.24156687	0.12451299	0.04904307	8.67326	9.69978	13.4512	0.30657	0.05464	0.17103	0.01483	0.0505	0.0076	20377.40357	36.17241095	0.64533495	5.24849	0.074701909	2.895368873	82.2832	8.00E-07	15.38	80.68009106	24.30801748	70.8726376	13	23.44619365	12.8199193	16	41	0	328	1	0.4232791	2050.15	0.0007	0.0357	0.0076	63732.2723	795367.4947	52.1645	9.34	0	64.39341294
2040102	EAST BRANCH DELAWARE	0.201	6.6375	87.4873	4.039	93.1615	2.2154	0.3176	2.7229	11.85253507	0.16341654	0.013403928	8.39146	9.25178	13.2517	0.30623	0.05396	0.17014	0.01478	0.05322	0.00918	20309.47989	22.78256323	0.31891667	2.66261	0.040084312	2.022140802	82.0671	2.87E-07	5.92	65.36549509	14.03685071	84.19290195	12	26.85351005	7.8695982	12	30	0	317	1	0.9132192	2037.54	0.0101	0.0409	0.0131	129328.0702	1160286.171	NA	NA	NA	NA
2040103	LACKAWAXEN	3.4846	14.8106	75.3175	5.1157	81.7047	2.4834	0.3651	2.8433	18.91872136	0.08820705	0.030166038	9.78227	10.8922	14.1703	0.30505	0.05645	0.17092	0.01543	0.04398	0.00273	20402.66198	83.44443472	2.338057347	3.33678	0.166633986	6.194735725	84.4136	1.98E-06	12.68	87.31594459	32.73316107	61.77533178	12	6	6.2695572	9	31	0	296	1	1.4728921	2087.83	0.002	0.0256	0.0006	-47746.4877	512399.6001	37.2587	0.58	0	59.40496277
2040104	MIDDLE DELAWARE-MONGAUP-BRODHEAD	3.8678	7.9136	80.5904	1.5694	88.2186	3.3859	0.3175	2.6604	20.00661514	0.08512462	0.007779396	10.2348	11.2381	14.2642	0.24876	0.06114	0.13018	0.01037	0.01873	0.00274	21755.77331	132.292986	3.143251825	14.59256	0.259198244	1.243991408	85.5449	3.00E-06	4.41	75.49169026	18.78737686	78.76389003	14	26.38980249	2.4488157	17	48	1	350	2	1.4246766	2110.99	0.0153	0.0385	0.0135	-303313.1573	1598850.942	53.5113	6.46	1315.74	46.79394816
2040105	MIDDLE DELAWARE-MUSCONETCONG	3.6226	42.778	59.3118	7.1992	53.5994	5.0098	0.6457	3.7741	28.26718902	0.14440387	0.221601908	12.1429	16.3763	14.9758	0.16111	0.0642	0.12489	0.00817	0.02016	0.00126	33156.80035	464.2668656	0.946371819	20.74124	0.210912529	0.455414319	90.8244	1.34E-06	33.4	67.4402395	39.26414669	45.85498162	15	15.40115353	14.703361	16	61	2	332	2	1.1253723	2184.17	0.0425	0.3157	0.063	-742785.3767	1409348.581	14.31	15.93	92.28	70.90805693
2040106	LEHIGH	3.5307	32.5564	64.1252	7.5154	63.913	5.4961	0.5521	3.4176	29.0528198	0.11096162	0.096505829	10.8812	13.846	14.9208	0.2366	0.05755	0.15963	0.01169	0.01356	0.00192	26378.96026	450.1064796	0.852309518	21.3913	0.247317465	0.744537507	86.6798	1.21E-06	23.23	68.4576006	26.61834534	64.84659929	14	4	11.5814244	16	40	0	319	1	2.0036306	2157.09	0.0357	0.2204	0.06	-353291.6199	1626295.776	31.8452	4.52	1755.75	73.79482864
2040201	CROSSWICKS-NESHAMINY	5.2286	61.94	52.4233	1.5066	32.8314	11.9509	0.8097	4.2605	41.17599076	0.11528891	0.430125543	12.0245	18.2986	14.9748	0.13856	0.06398	0.12736	0.00678	0.01819	0.00149	33314.34526	1131.817169	0.964202582	8.11347	0.231177933	0.250387617	98.0069	5.73E-07	36.75	32.1445368	47.37025666	20.81072083	15	9.290684937	14.8495506	14	61	1	324	3	1.6524759	2194.24	0.0516	0.2573	0.0377	-334241.3213	226671.7799	0.3715	65.03	448.43	69.52236857
2040202	LOWER DELAWARE	7.223	58.8371	47.1651	1.066	33.9399	20.7303	0.7781	4.1063	58.99070819	0.13187682	0.629364182	11.4565	19.5027	15.2262	0.24011	0.06469	0.13752	0.01403	0.00956	0.00056	27935.40825	2590.534554	0.096090483	42.19613	0.339912823	0.576165361	95.5879	7.30E-07	17	50.70324411	38.1665218	39.20345501	16	10.34252647	4.9384215	16	58	1	323	3	0.4245634	2300.19	0.1291	0.1805	0.0568	-540266.4149	-310874.573	1.6183	13.61	1276.56	91.18038397
2040203	SCHUYLKILL	0.6852	51.1239	60.825	10.8531	48.1909	7.246	0.7025	4.0048	35.00360431	0.17063213	0.307131312	11.6783	15.9898	15.4123	0.2312	0.06273	0.14707	0.01282	0.01568	0.00146	31608.02456	838.7827688	0.571448154	25.75325	0.28449798	0.69703969	91.1379	1.08E-06	37.31	56.619327	36.76609328	44.14170703	13	0	24.094622	16	36	1	317	1	1.3841494	2181.41	0.0398	0.3115	0.0772	-399943.9666	786908.8027	16.3962	12.86	24444.87	80.47187944
2040205	BRANDYWINE-CHRISTINA	4.204	59.326	56.4011	7.3542	36.47	9.2065	0.8449	4.3652	37.28500119	0.14175841	0.300000749	10.9568	17.0986	15.6879	0.15366	0.06693	0.11704	0.00752	0.018	0.00073	35947.40848	948.7964896	1.336282727	14.23287	0.538812493	0.355662607	96.182	7.05E-07	40.33	40.93000068	47.43015763	24.60901196	15	0	17.594421	14	55	1	315	2	1.1616884	2292.45	0.0434	0.4089	0.1212	-238834.9973	35407.038	2.5948	37.34	1084.33	67.63218639
2040206	COHANSEY-MAURICE	18.4157	40.9267	27.5179	0.1191	40.6429	4.2491	0.6191	3.4175	22.78406306	0.05483894	0.715616055	8.45798	13.5881	14.8213	0.25069	0.06179	0.13793	0.01278	0.04133	0.0024	23928.20274	266.3565832	0.505052662	27.14075	0.209766492	0.712658395	95.7064	1.38E-06	30.56	60.97761625	34.72468294	48.9767293	16	16.62614061	6.650331	14	47	1	325	3	0.3590876	2321.98	0.2677	0.3861	0.1188	-132574.3364	101860.8937	NA	NA	NA	NA
2040207	BROADKILL-SMYRNA	24.2471	57.868	13.8033	0.0166	17.4996	2.9364	1.0916	4.6431	18.38344234	0.03843434	0.38293519	8.03942	11.5506	14.2773	0.26569	0.06876	0.13198	0.01065	0.03373	0.00012	22042.90369	223.3354432	1.845922359	13.71049	0.308891312	0.97881979	94.4616	5.29E-08	50.19	35.46478608	45.29199107	34.3334975	14	3	11.844221	6	47	0	297	3	0	2377.95	0.1109	0.9581	0.2261	-22244.8352	-3821.1528	0.3807	22.48	7.89	57.80727789
2050101	UPPER SUSQUEHANNA	0.8169	27.9492	72.3114	12.0307	71.2339	2.2168	0.4813	3.3075	14.75496682	0.09498656	0.155671841	8.11289	9.28854	12.8881	0.29642	0.053	0.15815	0.01254	0.04588	0.0048	21280.10755	70.41275875	-0.063143586	22.24671	0.170110008	1.756170591	80.0394	2.03E-07	25.93	80.05166674	29.26576851	63.3161907	13	19.93445007	21.056444	14	54	0	321	1	0.854346	2014.16	0.0074	0.1046	0.0129	396961.0257	2747357.178	46.7288	5.02	0	66.88097456
