"s_class","species","countrycode","decimallatitude","decimallongitude","row_count_2000","row_count_2001","row_count_2002","row_count_2003","row_count_2004","row_count_2005","row_count_2006","row_count_2007","row_count_2008","row_count_2009","row_count_2010","row_count_2011","row_count_2012","row_count_2013","row_count_2014","row_count_2015","row_count_2016","row_count_2017"
"Aves","Melanocharis versteri","PG","-54.8","141.65","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Parotia carolae","PG","-54.8","141.65","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Pygarrhichas albogularis","AR","-41.953333","-71.398333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Diuca diuca","AR","-41.953333","-71.398333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Tachycineta leucopyga","AR","-41.953333","-71.398333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Anairetes parulus","AR","-41.953333","-71.398333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Cinclodes patagonicus","AR","-41.953333","-71.398333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Asthenes pyrrholeuca","AR","-41.953333","-71.398333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Troglodytes musculus","AR","-41.953333","-71.398333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Glaucidium nana","AR","-41.953333","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Asthenes pyrrholeuca","AR","-41.953333","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Campephilus magellanicus","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Patagioenas araucana","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Scytalopus magellanicus","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Pygarrhichas albogularis","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Phytotoma rara","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Sephanoides sephanoides","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Curaeus curaeus","AR","-41.79","-71.563333","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Asthenes pyrrholeuca","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Sylviorthorhynchus desmursii","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Upucerthia dumetaria","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Zonotrichia capensis","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Spinus atriceps","AR","-41.79","-71.563333","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Lessonia rufa","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Xiphorhynchus fuscus","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Leptasthenura aegithaloides","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Scelorchilus rubecula","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Diuca diuca","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Pteroptochos tarnii","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Colorhamphus parvirostris","AR","-41.79","-71.563333","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Strix rufipes","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Turdus falcklandii","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Troglodytes musculus","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Elaenia albiceps","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Oreotrochilus leucopleurus","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Picoides lignarius","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Colaptes pitius","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Phrygilus patagonicus","AR","-41.79","-71.563333","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Aphrastura spinicauda","AR","-41.79","-71.563333","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Callipepla californica","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Anairetes parulus","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Xolmis pyrope","AR","-41.79","-71.563333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Tachycineta leucopyga","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Muscisaxicola maclovianus","AR","-41.79","-71.563333","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Mimus patagonicus","AR","-41.111667","-70.376667","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Falco sparverius","AR","-41.111667","-70.376667","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Knipolegus aterrimus","AR","-41.111667","-70.376667","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Pseudoseisura gutturalis","AR","-41.111667","-70.376667","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Upucerthia dumetaria","AR","-41.111667","-70.376667","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Eremobius phoenicurus","AR","-41.111667","-70.376667","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Tyto alba","AR","-41.111667","-70.376667","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Glaucidium nana","AR","-41.111667","-70.376667","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Leptasthenura aegithaloides","AR","-41.111667","-70.376667","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Molothrus bonariensis","AR","-41.111667","-70.376667","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Cyanoliseus patagonus","AR","-41.111667","-70.376667","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Lessonia rufa","AR","-41.111667","-70.376667","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Phrygilus fruticeti","AR","-41.111667","-70.376667","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Aves","Sturnella loyca","AR","-41.111667","-70.376667","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
